,Sentence,label
2931,Valle story iratte maathra,Not-Hope
3295,@10 R report madi avna,Not-Hope
5769,ಕಿಚ್ಚನ ಹುಡುಗ್ರು ವತಿಯಿಂದ  all the best,Not-Hope
494,Diya thumba chennagide ondu olle prayathna movie kone vargu sinimada ondu bhagavagi ondu olle feeling nalli movie na nodthidde but kone seen nijakku ishata aglilla tragidi ishtondu bekitta ellara manisige ishta ada adi na sayisbekitta so last seen nodida thakshna alliyavaregu idda feel pat antha Maya agi edenu heeg madudru ansuthe,Hope
6627,ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ,Hope
1596,@Ambrish Mallad modalu bere hero respect kododu kali amele maathadu gaandu kudlu ella adu Ella andkondu,Not-Hope
2554,1.4k dislikes from rashmika fans may be ...,Not-Hope
1035,@Sharath T urkondu sayri sulemakalla 1 year 3 blockbuster BOSS,Not-Hope
1384,ಒಬ್ಬ ನಾಯಕನ ಕಥೆಯಲ್ಲಿ ೨ ಯುದ್ದ ಬರುತ್ತೆ ಸಾನ್ವಿ ಬಂದ್ಮೇಲೆ ಒಂದು ಇನೊಂದು ಸಾನ್ವಿ ಹೋದಮೇಲೆ ಅವನೇ ಶ್ರೀಮನಾರಯನ್,Hope
697,Togari tippa keli tumba santosh ayita matte old is gold antaralll adu nija ayita,Not-Hope
2511,GOOD LUCK FOR RAKSHIT SHETTY SIR AND HIS TEAM FRM KICCHA SUDEEP SIR FANS,Not-Hope
5221,@Nandi Parthasarathi ನಂದಿನಿ ಅವ್ರೆ ನಿಮ್ಮ ತುಲ್ಲುಗೆ ಗಬ್ಬು ವಾಸ್ನಿ,Not-Hope
5642,Nija. Never support communist party,Not-Hope
2797,Modlu ee chinese apps galna india dalli ban madbeku...,Not-Hope
1296,Yavalo bindu Gowda avulu Thu.......... Nan Ke................,Not-Hope
3626,ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ,Hope
6130,ಸೂಪರ್ ಬ್ರೋ,Hope
7386,ಟೀವಿ ನೈನ್ ಕನ್ನಡದಲ್ಲಿ ಈ ವಿಚಾರ ತೋರಿಸಿದ್ದಾರೆ,Not-Hope
6425,First hog film nodu. Amele yen bekadru comment madu.,Not-Hope
3365,Song ಹೆಂಗೆ......ಹೌದು ಹುಲಿಯಾ...,Not-Hope
4079,Olledagli shankar sir yavduku tale kedskobedi olle life lead madtidira ha bagvanta nimge olledmadli,Hope
1307,yen song guru ...super,Hope
3111,Guru nakn enu madbekitu guru ninu avr ajji nam dhesha dalli uti a china desha ke utiro hange Madtare tu evr janmake est benki haka,Hope
5646,ಜೈ ಮೋರಿ ಜೈ ರೋಗಿ ಇಸ್ಲಾಂ ಸಾಯಿಸಿ ಇದೆ ಇವರ ಗುರಿ,Not-Hope
5804,ಪುಣ್ಯಕೋಟಿ ಮೂವಿ ಬರುವ ತನಕ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಯವರ ಮೂವಿ ವೇಟ್ ?,Hope
7398,Nange gottu ashwathama ellidane anta,Not-Hope
6205,ಸೂಪರ್ ಅಣ್ಣ,Hope
4378,@DACCHU D BOSS naanu adanne hudukta idini 🤔,Not-Hope
6454,Kelsa made dudedu duddu tandu kode,Not-Hope
3978,Karthiks Reddy ನಿಮ್ಮ ಉತ್ತರ ಆಂಗ್ಲ ಭಾಷೆಯಲ್ಲಿ ಇಲ್ವಾ ಅದೇ ಥರಾ,Hope
1397,ನನಗು same ಹಂಗೇ ಅನ್ನಿಸ್ತು;,Not-Hope
2775,🤣🤣 sakath guru,Not-Hope
5196,@Nandi Parthasarathi ಹಡಿತೀನಿ ಬಂದ್ರೆ ತುಲ್ಲರೆ no ಹಾಕೆ ಬೇವರ್ಸಿ,Not-Hope
2724,Anna en mast helde 100 plzzz innu innu publish Madi thukali tiktok ge end sigli,Not-Hope
1966,Super movie guru,Not-Hope
5395,Iddu benki,Not-Hope
7432,nam kangu kansli amele nambtivi,Not-Hope
1018,@Nandi Parthasarathi Loo Sisya nin Yello erodu,Not-Hope
7141,Eno Anna dool ebsi bitti alla comment boxnalli,Not-Hope
4168,Nijvaglu nivu tumbha great sir nimma antha ollevyakthi nodi devru idana antha prashne baruthe,Hope
6013,Tik tok beda namge,Not-Hope
735,Dislike madidavaru dagar rashimka fans,Not-Hope
6235,Tiktok sede galu,Not-Hope
4937,100 days pacca,Hope
4307,Bisilu nadalli hola uluvavane nijavada raita,Hope
83,Nemma anna antha barthane nodu avana hodibeku guru first Gubal Nan maga,Not-Hope
1013,ಅವನೇ ಶ್ರೀಮನ್ನಾರಾಯಣ ಚಿತ್ರಕ್ಕೆ ಶುಭವಾಗಲಿ,Hope
6126,ಎಲೆ ಅಡಿಕೆ ಅಕಂಡು ಉಗಿ ಗುರು,Not-Hope
661,ಎರಡನೆ ಬಾಗ ಅಪ್ಲೋಡ್ ಮಾಡಿ,Hope
1886,Ayo mostly avarige samskruti bhase barutee ansathe,Not-Hope
6586,Nanu 2 weaks ninda huccha agbitidini boss song ge fiddha agbitidini,Hope
3550,Muchgond irappa Nim dharmad bagge nodkond sumne irinNam nambike bagge nimag yeke uri,Not-Hope
3341,Nandini Parthasarathi d bass ge jai,Not-Hope
2593,@Yash cult Guru lo guru bere heroes na support maadidre nin gantenaadru hoguttaa? Ellaa actors avre depore,Not-Hope
5827,May be after hamsaleka,Not-Hope
2707,Howdu bro app uninstall madudrea avrig amount hogodu kamiagutea plzzzzz uninstall Madi beavarce appp Adu thuuuuu,Not-Hope
784,ಅಬ್ಬಾ ಎಂತಹ bgm,Hope
732,Unlike ಮಾಡಿದವರು ರಶ್ಮಿಕಾ ಅಭಿಮಾನಿಗಳು....,Not-Hope
5294,Addu. Pubg alla. Guru.  Sumney. Elbedda,Not-Hope
5422,Share madta idini,Not-Hope
1017,@Nandi Parthasarathi mars venus inda bartira,Not-Hope
5440,Hands up song ge,Not-Hope
6452,love mocktel kuda super ide,Not-Hope
3667,@KICCHA DHF n,Not-Hope
4820,Rakshith shetti luck like shankarnag,Not-Hope
3161,Super bro e nayiigulu erodrindane nam desha uddar agilla once again super bro,Hope
5717,ಯುದ್ಧ ಮಾಡಬೇಕು ಓದಬಾರದು ಕಟುಕರ ಮುಂದೆ ಭಗವದ್ಗೀತೆ ...,Hope
3518,Masth maga u tube channel nalli obba hudugana voice thara ede,Hope
2375,Super movie wow amazing ...,Not-Hope
1461,Guru deshgaande swantha picture tegeyo sule maga alla.. Yaav picture remake idhu🤔,Not-Hope
499,Sathyavaglu movie maatra ulty,Not-Hope
4334,ಸೂಪರ್ ರಿ ಸರ್,Hope
5599,ಇದು  ಸುಳ್ಳು    ಚೀನಾ    ಕಾರ್ಮಿಕರಿಗೆ  ಗಂಟೆ  ಲೆಕ್ಕದಲ್ಲಿ  ಸಂಬಳ    ಕೊಡುತ್ತಾರೆ,Hope
3925,ಸೂಪರ್ n.. ಮಠ ಸರ್ ದಾಡಿ ಬ್ಲಾಕ್ ಮಾಡಿರೋದು ಖುಷಿ ತಂದಿದೆ,Not-Hope
2802,Pade pade kelabeku anisutte.....,Not-Hope
6245,Super sir super super super super,Hope
2711,Yanta jana brother nam deshakkoskara 1 app delete madoke agalva avarige,Not-Hope
6023,ದೇಶ ಕಾಯಕ್ಕೆ ಯೋಧ ಇರಬೇಕು ತೀರಿಪೆ ಶೋಕಿ ಮಾಡಿದವರಿಗೆ ಟ್ರೋಲ್ ಮಾಡೋರು ಇರಬೇಕು,Not-Hope
6501,Good job..  Goahead mahn,Not-Hope
2805,Super song.....with dance sakathagide,Not-Hope
5957,ಚಾಲೆಂಜಿಂಗ್ ಸ್ಟಾರ್ ದರ್ಶನ್ ಅಭಿಮಾನಿಗಳ ಕಡೆಯಿಂದ ಈ ಚಿತ್ರವು ಶತದಿನೋತ್ಸವ ಆಚರಿಸಲಿ ಎಂದು ಶುಭ ಕೋರುತ್ತೇವೆ ...............................ಚಿತ್ರದುರ್ಗ ಡಿ ಬಾಸ್ ಅಭಿಮಾನಿಗಳ ಬಳಗ,Hope
6359,D boss fans inda full support iden#jaidboss,Not-Hope
6092,So nice bro,Hope
5394,Rakshit movie success party Elli maadbekanta iddiri??,Not-Hope
