Sentence	label
Valle story iratte maathra	Not-Hope
@10 R report madi avna	Not-Hope
ಕಿಚ್ಚನ ಹುಡುಗ್ರು ವತಿಯಿಂದ  all the best	Not-Hope
Diya thumba chennagide ondu olle prayathna movie kone vargu sinimada ondu bhagavagi ondu olle feeling nalli movie na nodthidde but kone seen nijakku ishata aglilla tragidi ishtondu bekitta ellara manisige ishta ada adi na sayisbekitta so last seen nodida thakshna alliyavaregu idda feel pat antha Maya agi edenu heeg madudru ansuthe	Hope
ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ	Hope
@Ambrish Mallad modalu bere hero respect kododu kali amele maathadu gaandu kudlu ella adu Ella andkondu	Not-Hope
1.4k dislikes from rashmika fans may be ...	Not-Hope
@Sharath T urkondu sayri sulemakalla 1 year 3 blockbuster BOSS	Not-Hope
ಒಬ್ಬ ನಾಯಕನ ಕಥೆಯಲ್ಲಿ ೨ ಯುದ್ದ ಬರುತ್ತೆ ಸಾನ್ವಿ ಬಂದ್ಮೇಲೆ ಒಂದು ಇನೊಂದು ಸಾನ್ವಿ ಹೋದಮೇಲೆ ಅವನೇ ಶ್ರೀಮನಾರಯನ್	Hope
Togari tippa keli tumba santosh ayita matte old is gold antaralll adu nija ayita	Not-Hope
GOOD LUCK FOR RAKSHIT SHETTY SIR AND HIS TEAM FRM KICCHA SUDEEP SIR FANS	Not-Hope
@Nandi Parthasarathi ನಂದಿನಿ ಅವ್ರೆ ನಿಮ್ಮ ತುಲ್ಲುಗೆ ಗಬ್ಬು ವಾಸ್ನಿ	Not-Hope
Nija. Never support communist party	Not-Hope
Modlu ee chinese apps galna india dalli ban madbeku...	Not-Hope
Yavalo bindu Gowda avulu Thu.......... Nan Ke................	Not-Hope
ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ	Hope
ಸೂಪರ್ ಬ್ರೋ	Hope
ಟೀವಿ ನೈನ್ ಕನ್ನಡದಲ್ಲಿ ಈ ವಿಚಾರ ತೋರಿಸಿದ್ದಾರೆ	Not-Hope
First hog film nodu. Amele yen bekadru comment madu.	Not-Hope
Song ಹೆಂಗೆ......ಹೌದು ಹುಲಿಯಾ...	Not-Hope
Olledagli shankar sir yavduku tale kedskobedi olle life lead madtidira ha bagvanta nimge olledmadli	Hope
yen song guru ...super	Hope
Guru nakn enu madbekitu guru ninu avr ajji nam dhesha dalli uti a china desha ke utiro hange Madtare tu evr janmake est benki haka	Hope
